S. No.,Name & Address of cold storage,Capacity in Metric Tons,Sector,Products stored,Latitude,Longitude
248,"KAMAL COLD STORAGE,Mogar, Anand.",1970,Private,Potatoesÿ,22.519092,73.019233
249,"KAILASH COLD STORAGE,KAILASH COLD STORAGE,Kutch - 370 205.",400,Private,Potatoes,22.519092,73.019233
250,"KUTCH DAIRY,Guj - Dairy Dev - Coop. Ltd.,Madhapur - 370020.",476,Public,Milk & Milk Products,23.237456,69.709528
251,"JAI AMBE COLD STORAGE & FOOD PROCESSING,Gandhidham.",3200,Private,Multipurpose,23.237456,69.709528
252,"KUTCH COLD STORAGE,Mandavi, Near Sitla Octroi,Gadhshisha Road, Mandavi, Kutch.370465.",700,Private,Multipurpose,23.06501755,69.3434166
253,"JATIN COLD STORAGE & ICE FACTORY, GIDC Ind. , Estate,ÿ 14 - B,Kalol,Mehsana.ÿÿ",2000,Private,Potatoes,23.06501755,69.3434166
254,"MEHSANA DIST. COOP MILK PROD. UNION LTD.,Mehsana.",1781,Cooperative,Dairy Products,23.6009027,72.3898337
255,"MEHSANA ICE & COLD STORAGE PVT. LTD.,Highway Road, Mehsana.",4000,Private,Multipurpose,23.6009027,72.3898337
256,"SARDAR DAIRY PVT. LTD.,Near Rajesh Automobiles,State Highway, Mehsana - 384002.",262,Private,Dairy Products,23.597714,72.380043
257,"SURAJ COLD STORAGE.,Plot No. 1/1 & 2/A-1. GIDC,Kalol - 382721.",3309,Private,Multipurpose,23.1038514,72.40563585
258,SHIV COLD STORAGE SHIV COLD STORAGEÿ,3680,Private,Potatoes,23.1038514,72.40563585
261,"SURAJ COLD STORAGE,1/1+2/A-1, GIDC, Kalol.",3200,Private,Multipurpose,23.244301,72.503601
262,"SARVODAYA COLD STORAGE,Vijapur.",3840,Private,Multipurpose,23.244301,72.503601
263,"JAYSHRI MAHAKALI COLD STORAGE,Vijapur.",3200,Private,Multipurpose,23.55206,72.746159
264,"NILKANTH COLD STORAGE,Vijapur.",3600,Private,Multipurpose,23.55206,72.746159
265,"UMIYA COLD STORAGE PVT. LTD.,Khanusha, Mehsana.",8000,Private,Multipurpose,23.55206,72.746159
266,"JAYSHIL COLD STORAGE PVT. LTD.,Kansa Road, Vishnagar - 384315,Opp. Gurukul - Dist. Mehsana.",3000,Private,Multipurpose,23.6009027,72.3898337
267,"VIMAL COLD STORAGE(VIMAL DAIRY LTD.)Near Palavasana Rly. Crossing,High way road, Mehsana.-38400",4800,Private,Multipurpose,23.702899704925,72.530439623997
268,"KEDARNATH COLD STORAGEPVT. LTD.,Boru, Vijapur.",3415,Private,Multipurposeÿ,23.606712572576,72.384958613743
269,"PURNA FROZEN FOODS PVT. LTD.,Amadpore, Navsari-396445ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ",5000,Private,Multipurpose,20.973501,72.964065
270,"PANCHMAHAL DIST. CO.OP. MILK PRODUCERS UNION LTD.,Godhra Dairy, Godhra.",199,Cooperative,Dairy Products,20.973501,72.964065
271,"KISHAN COLD STORAGE,Gondal Road, Rajkot - 360004.",1631,Private,Potatoes,22.274694355766,70.79897694998
272,"RAJKOT DIST. GOPALAK COOP. MILK PROD. UNION LTD.,Rajkot - 360003.",227,Cooperative,Dairy Products,22.3560156,70.78304365
273,"RAVI COLD STORAGE,Gondal Road, Rajkot - 360004.",1922,Private,Potatoes,22.3560156,70.78304365
274,"SAURASHTRA CANNING & COLD STORAGE CO.,Opp.ÿ Observation House,Gondal Road, Rajkot - 360002.",4000,Private,Potatoes,22.274694355766,70.79897694998
